"HostName","ESX Version","ESX Build","CPU Usage (%)","Memory Usage (%)","Storage Usage (%)"
"drgslbesxi.dmz.raiffeisenbank.co.yu","7.0.3","22348816","16.88","6.34","2.8078084203655352480417754600"
"drdwhesxi1.rbj.co.yu","7.0.3","22348816","4.89","40.23","31.939581880013951866062085800"
"drprodesxi1.rbj.co.yu","7.0.3","23794027","23.66","47.95","0.0218278870509964293343913100"
"drprodesxi2.rbj.co.yu","7.0.3","23794027","35.2","39.32","0.0218278870509964293343913100"
"drprodesxi4.rbj.co.yu","7.0.3","22348816","16.2","47.95","0.0218278870509964293343913100"
"drprodesxi3.rbj.co.yu","7.0.3","23794027","21.98","22.95","0.0218278870509964293343913100"
"drpharmwfa1.rbj.co.yu","7.0.3","23794027","6.16","12.83","41.015100447109808948300067140"
"drpharmwfa5.rbj.co.yu","7.0.3","22348816","11.6","12.8","41.015100447109808948300067140"
"drpharmwfa4.rbj.co.yu","7.0.3","22348816","6.43","9.86","41.015100447109808948300067140"
"drpharmwfa3.rbj.co.yu","7.0.3","23794027","3.34","11.26","41.015100447109808948300067140"
"drpharmwfa10.rbj.co.yu","7.0.3","23794027","4.76","11.41","41.015100447109808948300067140"
"drpharmwfa11.rbj.co.yu","7.0.3","23794027","4.46","11.4","41.015100447109808948300067140"
"drpharmwfa6.rbj.co.yu","7.0.3","22348816","10.6","12.64","41.015100447109808948300067140"
"drpharmwfa7.rbj.co.yu","7.0.3","22348816","10.19","14.24","41.015100447109808948300067140"
"drpharmwfa2.rbj.co.yu","7.0.3","23794027","9.05","13.46","41.015100447109808948300067140"
"drpharmwfa8.rbj.co.yu","7.0.3","22348816","10.59","12.6","41.015100447109808948300067140"
"drpharmwfa9.rbj.co.yu","7.0.3","23794027","6.06","12.91","41.015100447109808948300067140"
"drdmz1esxi4.raiffeisenbank.rs","7.0.3","22348816","9.26","2.14","44.089597195092174337687706020"
"drdmz1esxi3.raiffeisenbank.rs","7.0.3","22348816","5.72","27.15","44.089597195092174337687706020"
"drcoreesxi4.rbj.co.yu","7.0.3","22348816","1.96","15.91","45.101569176535221584666096940"
"drcoreesxi3.rbj.co.yu","7.0.3","22348816","9.8","8.27","45.101569176535221584666096940"
"psgslbesxi.rbj.co.yu","7.0.3","22348816","16.95","6.39","2.8540867738250652741514360300"
"hocoreesxi3.rbj.co.yu","7.0.3","23794027","15.12","50.99","33.448972139867457272410184860"
"hocoreesxi1.rbj.co.yu","7.0.3","23794027","18.04","32.66","33.448972139867457272410184860"
"hocoreesxi2.rbj.co.yu","7.0.3","23794027","11.76","47.35","33.448972139867457272410184860"
"hodmz1esxi4.rbj.co.yu","7.0.3","22348816","10.92","42.14","66.122663402848423194303153610"
"hodmz1esxi3.rbj.co.yu","7.0.3","22348816","25.92","43.15","66.122663402848423194303153610"
"hodmz1esxi5.rbj.co.yu","7.0.3","22348816","28.57","41.23","66.122663402848423194303153610"
"hoesxisticky3.rbj.co.yu","7.0.3","22348816","19.45","22.53","8.850375579869376793017151930"
"hoesxisticky2.rbj.co.yu","7.0.3","22348816","21.33","20.84","8.850375579869376793017151930"
"hoesxisticky1.rbj.co.yu","7.0.3","22348816","2.09","7.28","8.850375579869376793017151930"
"hotestlinesxi1.rbj.co.yu","7.0.3","23794027","32.12","38.8","13.340619849844350851492400660"
"hotestlinesxi3.rbj.co.yu","7.0.3","22348816","22.95","54.1","13.340619849844350851492400660"
