"HostName","ESX Version","ESX Build","CPU Usage (%)","Memory Usage (%)","Storage Usage (%)"
"psgslbesxi.rbj.co.yu","7.0.3","21313628","15.76","6.27","2.8540867738250652741514360300"
"hoprodlinesxi2.rbj.co.yu","7.0.3","19193900","18.37","50.25","0.8919006970555202890766150700"
"hoprodlinesxi1.rbj.co.yu","7.0.3","21313628","32.29","51.83","0.8919006970555202890766150700"
"hoprodlinesxi3.rbj.co.yu","7.0.3","21313628","18.72","54.5","0.8919006970555202890766150700"
"hoprodlinesxi6.rbj.co.yu","7.0.3","21313628","13.69","27.26","75.029856913528143812825682060"
"hoprodlinesxi4.rbj.co.yu","7.0.3","21313628","29.45","51.17","0.8919006970555202890766150700"
"hoprodlinesxi5.rbj.co.yu","7.0.3","21313628","26.55","28.65","75.029856913528143812825682060"
"hoesxisticky3.rbj.co.yu","7.0.3","21313628","8.75","11.68","64.140453324652071294864490930"
"hoesxisticky1.rbj.co.yu","7.0.3","21313628","0.95","1.73","64.140453324652071294864490930"
"hoesxisticky2.rbj.co.yu","7.0.3","21313628","34.51","16.82","64.140453324652071294864490930"
"hodmz1esxi5.rbj.co.yu","7.0.3","21313628","18.29","47.17","51.160454052981749374351461880"
"hodmz1esxi3.rbj.co.yu","7.0.3","21313628","16.5","45.04","51.160454052981749374351461880"
"hodmz1esxi4.rbj.co.yu","7.0.3","21313628","17.49","45.25","51.160454052981749374351461880"
"horemoteesxi2.rbj.co.yu","7.0.3","20328353","21.14","36.3","50.157938106573887566379783920"
"horemoteesxi1.rbj.co.yu","7.0.3","20328353","29.2","49.47","50.157938106573887566379783920"
"horemoteesxi5.rbj.co.yu","7.0.3","20328353","17.8","56.16","50.157938106573887566379783920"
"horemoteesxi3.rbj.co.yu","7.0.3","20328353","31.06","50.47","50.157938106573887566379783920"
"horemoteesxi4.rbj.co.yu","7.0.3","20328353","17.72","49.59","50.157938106573887566379783920"
"hosqlesxi2.rbj.co.yu","7.0.3","19193900","25.06","50.22","0.085239844656045901239089300"
"hosqlesxi3.rbj.co.yu","7.0.3","19193900","2.48","43.81","0.085239844656045901239089300"
"hosqlesxi1.rbj.co.yu","7.0.3","19193900","2.55","14.52","0.085239844656045901239089300"
"hosqlesxi4.rbj.co.yu","7.0.3","19193900","4.67","48.07","0.085239844656045901239089300"
"hoesxitoken2.rbj.co.yu","7.0.3","19193900","91.42","85.18","45.415687919463087248322147650"
"hoesxitoken3.rbj.co.yu","7.0.3","20036589","0.88","7.41","0.121313860066291972906758900"
"hoesxitoken1.rbj.co.yu","7.0.3","19193900","79.09","85.17","39.220113255033557046979865770"
"hodwhesxi1.rbj.co.yu","7.0.3","21686933","","","0.517363832288401253918495300"
"hodwhesxi2.rbj.co.yu","7.0.3","21686933","0.68","0.64","0.517363832288401253918495300"
"hocoreesxi1.rbj.co.yu","7.0.3","21313628","18.68","30.04","57.104596508362837260407764620"
"hocoreesxi2.rbj.co.yu","7.0.3","21313628","32.58","45.27","57.104596508362837260407764620"
"hocoreesxi3.rbj.co.yu","7.0.3","21313628","18.31","63.25","57.104596508362837260407764620"
"hopharmwfa3.rbj.co.yu","7.0.3","20842708","13.23","17","63.102993763734027834296410840"
"hopharmwfa1.rbj.co.yu","7.0.3","20842708","12.41","16.68","63.102993763734027834296410840"
"hopharmwfa11.rbj.co.yu","7.0.3","20842708","24.03","20.94","63.102993763734027834296410840"
