"HostName","ESX Version","ESX Build","CPU Usage (%)","Memory Usage (%)","Storage Usage (%)"
"psgslbesxi.rbj.co.yu","7.0.3","22348816","16.95","6.39","2.8540867738250652741514360300"
"hocoreesxi3.rbj.co.yu","7.0.3","23794027","15.12","50.99","33.448972139867457272410184860"
"hocoreesxi1.rbj.co.yu","7.0.3","23794027","18.04","32.66","33.448972139867457272410184860"
"hocoreesxi2.rbj.co.yu","7.0.3","23794027","11.76","47.35","33.448972139867457272410184860"
"hodmz1esxi4.rbj.co.yu","7.0.3","22348816","10.92","42.14","66.122663402848423194303153610"
"hodmz1esxi3.rbj.co.yu","7.0.3","22348816","25.92","43.15","66.122663402848423194303153610"
"hodmz1esxi5.rbj.co.yu","7.0.3","22348816","28.57","41.23","66.122663402848423194303153610"
"hoesxisticky3.rbj.co.yu","7.0.3","22348816","19.45","22.53","8.850375579869376793017151930"
"hoesxisticky2.rbj.co.yu","7.0.3","22348816","21.33","20.84","8.850375579869376793017151930"
"hoesxisticky1.rbj.co.yu","7.0.3","22348816","2.09","7.28","8.850375579869376793017151930"
"hotestlinesxi1.rbj.co.yu","7.0.3","23794027","32.12","38.8","13.340619849844350851492400660"
"hotestlinesxi3.rbj.co.yu","7.0.3","22348816","22.95","54.1","13.340619849844350851492400660"
"hotestlinesxi2.rbj.co.yu","7.0.3","22348816","22.28","54.03","13.340619849844350851492400660"
"hopharmwfa7.rbj.co.yu","7.0.3","22348816","17.42","24.64","42.350718747456661512167331330"
"hopharmwfa6.rbj.co.yu","7.0.3","22348816","13.14","21.59","42.350718747456661512167331330"
"hopharmwfa11.rbj.co.yu","7.0.3","22348816","16.19","24.34","42.350718747456661512167331330"
"hopharmwfa9.rbj.co.yu","7.0.3","22348816","15.6","23.56","42.350718747456661512167331330"
"hopharmwfa13.rbj.co.yu","7.0.3","22348816","12.5","30.12","42.350718747456661512167331330"
"hopharmwfa8.rbj.co.yu","7.0.3","22348816","18.2","24.77","42.350718747456661512167331330"
"hopharmwfa4.rbj.co.yu","7.0.3","22348816","16.33","29.76","42.350718747456661512167331330"
"hopharmwfa12.rbj.co.yu","7.0.3","22348816","13.07","30.21","42.350718747456661512167331330"
"hopharmwfa10.rbj.co.yu","7.0.3","22348816","18.17","34.3","42.350718747456661512167331330"
"hopharmwfa1.rbj.co.yu","7.0.3","23794027","14.55","23.74","42.350718747456661512167331330"
"hopharmwfa3.rbj.co.yu","7.0.3","22348816","15.21","24.35","42.350718747456661512167331330"
"hopharmwfa2.rbj.co.yu","7.0.3","23794027","6.85","20.64","42.350718747456661512167331330"
"hopharmwfa5.rbj.co.yu","7.0.3","22348816","16.85","19.34","42.350718747456661512167331330"
"hosqlesxi2.rbj.co.yu","7.0.3","23794027","5.55","40.51","60.147249423963133640552995390"
"hosqlesxi1.rbj.co.yu","7.0.3","23794027","8.02","35.68","60.147249423963133640552995390"
